,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
FL,"Portland, ME",29.0,705.4827586206897,402.25858959928246,174.0,408.0,646.0,929.0,1486.0,29.0,247.9102005939872,31.4101401383588,177.8215777815164,221.5577648453497,258.09917810683487,266.7413793103449,298.39198908730157
FL,"Portland, OR",30.0,2418.3333333333335,671.8920958797976,911.0,2155.0,2245.0,2603.25,4128.0,30.0,364.3816908515691,52.8438169437565,280.54169885092256,336.70734050904827,356.4453649764822,385.1273840221323,530.6002103915112
FL,"Quad Cities, IL (Metropolitan Area)",11.0,331.09090909090907,229.98237086587943,147.0,166.0,181.0,399.5,838.0,11.0,232.54337513162656,21.59048768725436,191.57940985029288,218.13569278286025,235.59420289855075,250.60000000000002,258.1111111111111
FL,"Raleigh/Durham, NC",30.0,6086.333333333333,2335.9294736243914,2982.0,4481.0,5698.5,7072.25,12397.0,30.0,210.1202368063022,28.170807783270096,156.43215759975837,199.7940966904882,209.18055255453106,219.2468361207271,287.3330604124939
FL,"Reno, NV",4.0,153.0,49.82636517614612,85.0,136.0,162.0,179.0,203.0,4.0,285.57825030871135,37.77682091157366,241.30927651492672,266.00769887556714,284.8185290266259,304.3890804597701,331.3666666666667
FL,"Richmond, VA",30.0,2545.1666666666665,1324.157196713893,661.0,1317.75,2835.5,3315.25,5145.0,30.0,240.4506683917457,54.632797250332345,169.08915072956253,200.077649539986,227.65576158076158,284.48828171310254,368.92463864062665
FL,"Rochester, NY",30.0,2280.5333333333333,676.817335584075,624.0,1845.25,2260.0,2679.75,3372.0,30.0,235.98344314397633,29.246931759332295,193.8274111218951,212.51193416705075,241.90889340622198,253.02625772724818,313.12929406079775
FL,"Rockford, IL",5.0,169.4,24.439721766010347,128.0,169.0,178.0,181.0,191.0,5.0,139.67962483125078,12.807946226270357,123.40639205538848,135.91566265060243,138.7741935483871,141.2888888888889,159.012987012987
FL,"Sacramento, CA",30.0,1494.8333333333333,545.2667226693508,128.0,1272.25,1544.0,1774.75,2884.0,30.0,364.94758446814296,43.47395864833322,297.5880486994351,330.5391103370719,361.92761351966277,398.5908527594988,469.43750000000006
FL,"Saginaw/Bay City/Midland, MI",1.0,136.0,,136.0,136.0,136.0,136.0,136.0,1.0,240.3061224489796,,240.3061224489796,240.3061224489796,240.3061224489796,240.3061224489796,240.3061224489796
FL,"Salt Lake City, UT",30.0,3863.3333333333335,1989.309572367419,1507.0,2655.25,2960.0,4620.5,8594.0,30.0,347.3252673063032,39.54784828016418,259.39173183572717,319.53389294884914,349.1123213519959,374.87055306374316,418.62631478946315
FL,"San Antonio, TX",30.0,2708.0,897.2274535747755,1405.0,2025.75,2452.5,3019.5,4982.0,30.0,289.78047324654705,39.56159759807117,221.5761472483737,264.24470575307913,291.04940503145104,319.2342302677739,398.66933193668535
FL,"San Diego, CA",30.0,3848.0,1373.632034249799,1386.0,3109.5,3670.5,4426.25,6988.0,30.0,359.7250744130768,63.39413105595957,278.01181601704474,312.9370714643657,353.4286147428721,370.3273601882449,539.0333543771044
FL,"San Francisco, CA (Metropolitan Area)",30.0,10643.766666666666,2908.750658264476,5528.0,8509.25,10077.0,12921.75,15852.0,30.0,413.09581891718705,73.33729901302202,327.34712780811407,364.47153424977785,399.44863531708233,421.9152401015132,581.5046204172697
FL,"Savannah, GA",2.0,139.0,82.02438661763951,81.0,110.0,139.0,168.0,197.0,2.0,210.65104166666669,36.27605101399737,185.00000000000003,197.82552083333337,210.65104166666669,223.47656250000003,236.30208333333337
FL,"Seattle, WA",30.0,5577.6,1655.9401246880047,2393.0,4582.25,5380.5,6282.5,9594.0,30.0,376.8619562412086,47.21857807167518,285.30044738732505,340.4343743223717,383.0161429208166,403.7941239021225,517.8525821841482
FL,"Sioux Falls, SD",1.0,114.0,,114.0,114.0,114.0,114.0,114.0,1.0,262.8541666666667,,262.8541666666667,262.8541666666667,262.8541666666667,262.8541666666667,262.8541666666667
FL,"South Bend, IN",5.0,213.0,72.74613391789285,150.0,156.0,188.0,248.0,323.0,5.0,142.13905161496504,25.640413512938405,119.58657209483093,120.44429204060039,134.6,156.79166666666669,179.27272727272725
FL,"Spokane, WA",1.0,99.0,,99.0,99.0,99.0,99.0,99.0,1.0,220.6867469879518,,220.6867469879518,220.6867469879518,220.6867469879518,220.6867469879518,220.6867469879518
FL,"Springfield, IL",1.0,121.0,,121.0,121.0,121.0,121.0,121.0,1.0,118.02409638554217,,118.02409638554217,118.02409638554217,118.02409638554217,118.02409638554217,118.02409638554217
FL,"St. Louis, MO",30.0,7021.766666666666,1579.5315255574624,3818.0,6131.5,7322.5,8189.25,9779.0,30.0,270.742764079825,42.071667844677705,201.21900091392132,238.7254799241655,258.0555976163856,293.6401992181261,351.7437770283674
FL,"Syracuse, NY",30.0,2360.5333333333333,549.3058775640734,845.0,2035.0,2352.5,2562.0,3763.0,30.0,247.35262255244461,32.291262426620825,185.99174805120032,234.85847269351586,248.71797395118637,263.6338070892725,356.1703012162676
FL,"Tallahassee, FL",23.0,623.7826086956521,508.11129386830373,134.0,188.0,451.0,835.0,1894.0,23.0,270.58792328020445,66.57402662550267,168.8825952569518,218.7367730822287,250.88832363407457,334.5005608979148,390.80597014925365
FL,"Tampa, FL (Metropolitan Area)",30.0,4211.566666666667,1787.947844709766,1067.0,3094.25,3472.5,5523.0,7871.0,30.0,176.08267047875586,21.734806726947227,147.10736512260667,157.82198331350048,176.4221198772711,193.53863841537165,215.7600238404855
FL,"Toledo, OH",6.0,245.5,222.5126962669771,80.0,142.75,181.5,203.0,690.0,6.0,182.5662256076771,57.24275417061942,113.74683544303795,133.79452344482294,188.69772998805257,228.89006734006733,246.47409050576752
FL,"Trenton, NJ",14.0,1030.5,726.0478634360135,146.0,367.75,913.0,1601.5,2287.0,14.0,138.11124777626782,37.4685924681369,99.88546294859678,110.6710744767264,122.93554612614747,158.88458302853888,210.86274509803923
FL,"Tucson, AZ",1.0,79.0,,79.0,79.0,79.0,79.0,79.0,1.0,242.69620253164558,,242.69620253164558,242.69620253164558,242.69620253164558,242.69620253164558,242.69620253164558
FL,"Tulsa, OK",22.0,425.77272727272725,212.8451106451382,129.0,267.75,409.0,582.0,793.0,22.0,278.99532873627,23.842071690030515,230.0638742829828,260.97933789954334,283.308456174051,292.63070064622065,313.3987632788964
FL,"Washington, DC (Metropolitan Area)",30.0,52737.433333333334,12966.01668469604,24860.0,41421.25,57577.5,61799.5,72503.0,30.0,227.45807387872574,21.107245298910186,194.54128178138217,211.4292878851454,224.35125304459618,242.82504924858847,278.80975866226606
FL,"West Palm Beach/Palm Beach, FL",12.0,567.1666666666666,321.35815005389327,135.0,169.5,685.5,845.5,860.0,12.0,153.01583425832357,20.919181330247014,131.89481892219723,134.0034071925972,147.60349057032806,171.63302139037432,190.24
FL,"Wilmington, DE",1.0,182.0,,182.0,182.0,182.0,182.0,182.0,1.0,153.5277777777778,,153.5277777777778,153.5277777777778,153.5277777777778,153.5277777777778,153.5277777777778
FL,"Worcester, MA",4.0,837.5,478.64008747004607,228.0,570.0,939.5,1207.0,1243.0,4.0,178.9787890007772,5.978559378519709,172.24444444444444,175.0303174817414,179.1022336286215,183.05070514765728,185.4662443014213
GA,"Atlantic City, NJ",6.0,321.1666666666667,190.92241006929143,177.0,196.25,211.0,477.0,571.0,6.0,154.57926625613928,42.96204124874925,118.375,127.62831991951712,136.42157490396926,169.89044637107406,230.51347594408836
GA,"Austin, TX",30.0,2260.4333333333334,1131.4877811318047,888.0,1397.75,1579.5,3231.0,4487.0,30.0,347.5174017842062,87.89676692175198,195.82859437751006,257.03761798565023,360.7889637055797,418.52994490339216,487.86038233683473
GA,"Baton Rouge, LA",7.0,291.0,124.79583326377528,155.0,182.0,302.0,379.5,457.0,7.0,338.14002078796955,50.85277903526423,281.8181818181818,304.59873374951735,327.7629902981966,359.08408628352004,430.0333333333333
GA,"Bloomington/Normal, IL",13.0,514.2307692307693,245.64817451189344,157.0,287.0,500.0,732.0,826.0,13.0,226.40334204162752,31.113755119099423,184.0860755997475,203.5357509721916,213.27444788266712,256.9661669682089,270.01428571428573
GA,"Boise, ID",1.0,31.0,,31.0,31.0,31.0,31.0,31.0,1.0,278.05063291139237,,278.05063291139237,278.05063291139237,278.05063291139237,278.05063291139237,278.05063291139237
GA,"Boston, MA (Metropolitan Area)",30.0,8960.5,1975.4706248525115,3521.0,8481.25,8998.0,9477.25,12991.0,30.0,298.5799164892138,64.1794690928849,194.43507543184242,254.7512624675035,294.77287808163607,324.2088018612179,471.8150528638732
GA,"Bozeman, MT",2.0,82.5,9.192388155425117,76.0,79.25,82.5,85.75,89.0,2.0,386.934344974836,21.08455033357486,372.02531645569616,379.4798307152661,386.934344974836,394.38885923440597,401.8433734939759
GA,"Buffalo, NY",30.0,1548.0666666666666,461.2010507310259,467.0,1346.5,1622.0,1896.25,2420.0,30.0,260.42480190964693,48.151344340024664,207.07618231242083,230.29996912971998,249.37413045568312,266.2497712704761,392.7844742063492
GA,"Charleston, SC",22.0,657.2272727272727,311.3055353886859,137.0,392.0,772.0,911.25,1088.0,22.0,326.48864273068546,75.23422117895684,181.44279597729764,276.1935087825665,346.7235066464749,380.3890641724358,440.5287626715816
GA,"Charlotte, NC",30.0,1557.4333333333334,469.4069393528856,655.0,1223.5,1583.0,1741.75,2612.0,30.0,326.7239444273666,82.589882680778,209.5418334196525,269.49400926436914,309.3727368110086,387.3494009115992,482.33410692183185
GA,"Chicago, IL",30.0,12510.0,2381.846139968482,5567.0,11453.5,11916.5,14139.0,16458.0,30.0,238.06425510082855,39.23646268047973,163.7483071976313,205.91003548366538,236.55505746010516,264.54255960455225,314.8147324688561
GA,"Cincinnati, OH",30.0,1322.8666666666666,351.78537082493466,653.0,1128.0,1249.5,1580.25,2030.0,30.0,399.764492757535,111.0684234152489,238.01145320197045,310.4157859881909,374.3808300758185,488.8888380849917,633.1554215889255
GA,"Cleveland, OH (Metropolitan Area)",30.0,3353.9666666666667,703.6948537018278,1492.0,3082.0,3485.0,3776.5,4349.0,30.0,251.89739586587226,54.37612385124662,166.68908843305812,216.838598721209,261.1315472679586,275.8942977452293,427.79961350859793
GA,"Colorado Springs, CO",7.0,664.2857142857143,439.16652661062193,296.0,405.0,481.0,789.5,1484.0,7.0,370.5437158250617,58.958030663586094,276.26370170709794,338.6862628981112,363.5375375375375,421.6446429518537,433.34295983086673
GA,"Columbia, SC",2.0,565.5,296.2777413171634,356.0,460.75,565.5,670.25,775.0,2.0,294.3584809084924,62.81516523014529,249.94145161290322,272.1499662606978,294.3584809084924,316.566995556287,338.77551020408157
GA,"Columbus, OH",30.0,2059.133333333333,599.6207268698723,1161.0,1500.75,2117.5,2503.25,3090.0,30.0,294.5558813412298,84.58309977774591,189.00968967480338,228.25860054121654,252.9833573366039,377.32735226179784,452.46876666256514
GA,"Dallas/Fort Worth, TX",30.0,10242.2,2009.7574978091266,5776.0,8951.0,9715.5,11551.5,13891.0,30.0,266.1773240457423,44.28701981016669,166.7232516105336,229.96976991907104,273.82502744062197,297.47869850199237,333.7550780245476
GA,"Dayton, OH",25.0,1680.56,749.9468914529881,159.0,884.0,1689.0,2333.0,2835.0,25.0,254.07470381559853,50.802571889826915,194.3905004832142,216.56028299553506,246.66291783179906,288.73569347319346,384.27653371378943
GA,"Daytona Beach, FL",3.0,219.66666666666666,137.6020833175622,129.0,140.5,152.0,265.0,378.0,3.0,253.9253725463249,30.92184191243236,229.78787878787878,236.49805881948737,243.20823885109596,265.994119425548,288.78
GA,"Denver, CO",30.0,6029.066666666667,1661.9431695610335,3011.0,4747.25,5576.0,7323.25,8652.0,30.0,299.63666817160095,78.91370176687487,198.5524476377733,248.40953360227118,266.162037512398,311.1075375646502,468.2605134957209
GA,"Des Moines, IA",1.0,69.0,,69.0,69.0,69.0,69.0,69.0,1.0,238.53164556962022,,238.53164556962022,238.53164556962022,238.53164556962022,238.53164556962022,238.53164556962022
GA,"Detroit, MI",30.0,5167.033333333334,1039.9008070512048,2708.0,4622.25,4964.5,5922.75,7265.0,30.0,251.30780757343308,32.13887462545925,198.26222855474734,234.99396389568142,246.8540462255432,264.44104040281206,335.08456047535606
GA,"El Paso, TX",5.0,218.6,96.56759290776591,88.0,179.0,198.0,309.0,319.0,5.0,348.8296637975646,45.67189068028816,290.67469879518075,310.51553509781354,371.2093851132686,374.7333333333333,397.0153666482267
GA,"Fayetteville, AR",2.0,249.5,129.4005409571382,158.0,203.75,249.5,295.25,341.0,2.0,462.8085204676013,13.153697321198205,453.50745189410674,458.15798618085404,462.8085204676013,467.4590547543486,472.1095890410959
GA,"Flint, MI",21.0,954.5238095238095,420.1570681361458,205.0,558.0,903.0,1324.0,1557.0,21.0,223.08542943784238,27.60504016920085,181.98325909195475,207.52150593807684,215.36196516661633,234.41823147061476,290.7100252525252
GA,"Fort Myers, FL",30.0,1683.5666666666666,277.38516522167777,1051.0,1510.75,1709.5,1869.0,2207.0,30.0,244.14118840750243,15.190712289998407,201.53916958155204,232.82490525461034,246.90788992129106,254.22627544801276,271.3803056027165
GA,"Grand Rapids, MI",17.0,826.8823529411765,420.9723688012286,172.0,557.0,909.0,1190.0,1418.0,17.0,328.9924668540266,44.56762416986782,254.2098404358573,307.08652877837164,320.40000000000003,352.8709587513936,411.60563380281695
GA,"Greensboro/High Point, NC",27.0,1032.5185185185185,669.9160320730427,175.0,585.5,846.0,1611.0,2411.0,27.0,283.6774845062436,73.84274351772574,186.8784927302913,239.3634159191423,268.9937391304348,287.5290284044806,496.1363875010585
GA,"Gulfport/Biloxi, MS",10.0,836.6,262.55462923615215,360.0,744.25,912.5,998.25,1151.0,10.0,199.13462937201228,15.690223036886703,173.23826134104465,185.62942165593026,204.20923180606118,211.75969278648267,218.5443548387097
GA,"Harrisburg, PA",6.0,515.0,216.20545784045325,185.0,398.0,538.0,662.25,774.0,6.0,326.21685999504683,44.934676325196875,265.8030303030303,303.48864610007854,321.2772662400572,346.78577870101,396.095874945723
GA,"Hartford, CT",30.0,2115.133333333333,652.968327548595,824.0,1586.25,2117.0,2550.75,3492.0,30.0,360.53144647393043,83.24699855583923,253.128373015873,295.81382728252305,335.6096744521502,422.4348042188807,529.3473704088377
GA,"Houston, TX",30.0,6563.466666666666,1842.6524871786726,2938.0,5564.0,5926.5,7698.25,10521.0,30.0,259.7104093239681,61.534957948039775,170.43097827719856,217.50537803641566,258.47372333035537,278.99503536338915,488.92414057181765
GA,"Indianapolis, IN",30.0,2261.2,599.6425026917979,1234.0,1693.5,2450.5,2766.75,3092.0,30.0,286.9774348040936,88.4577018047975,198.91570828769625,233.526201736909,242.69459798097128,336.8766801495667,472.6243720992954
GA,"Jackson, WY",1.0,86.0,,86.0,86.0,86.0,86.0,86.0,1.0,420.13924050632914,,420.13924050632914,420.13924050632914,420.13924050632914,420.13924050632914,420.13924050632914
GA,"Jackson/Vicksburg, MS",9.0,628.6666666666666,309.89554691863515,149.0,419.0,758.0,851.0,972.0,9.0,401.5572452804809,149.53038065404263,163.05900451447798,301.50833762002753,444.3818181818181,515.2758031972684,553.2592592592592
GA,"Jacksonville, FL",30.0,2473.733333333333,579.8509875960304,1055.0,2225.5,2449.5,2858.5,3765.0,30.0,229.52284140074553,24.44506371794564,177.35956516383345,212.90268479518573,221.42286628707166,251.6975606877404,269.27761022547753
GA,"Kansas City, MO",30.0,2972.233333333333,564.4700708802375,1330.0,2847.5,3116.0,3330.5,3715.0,30.0,250.45225752733265,30.742069262580504,193.9067983394676,227.31219707951865,247.75270284002295,266.14158956602836,325.69482436351916
GA,"Key West, FL",2.0,325.0,182.43354954612926,196.0,260.5,325.0,389.5,454.0,2.0,291.0372506782239,6.032894996454083,286.7713497160448,288.9043001971344,291.0372506782239,293.1702011593134,295.303151640403
GA,"Knoxville, TN",1.0,483.0,,483.0,483.0,483.0,483.0,483.0,1.0,224.47631226403604,,224.47631226403604,224.47631226403604,224.47631226403604,224.47631226403604,224.47631226403604
GA,"Las Vegas, NV",30.0,5833.833333333333,2124.5586005395185,2695.0,4168.0,5683.5,7678.5,9504.0,30.0,329.6929932752292,48.05732995737757,245.7211999178683,302.60093306108075,319.7184415276406,343.99757791663393,453.9262652793897
GA,"Lexington, KY",2.0,363.5,317.49094475275984,139.0,251.25,363.5,475.75,588.0,2.0,372.4117964736915,79.71667791351238,316.043592947383,344.2276947105372,372.4117964736915,400.59589823684576,428.78
GA,"Little Rock, AR",25.0,628.72,273.291132921164,143.0,397.0,762.0,808.0,1077.0,25.0,363.0859733064523,78.9372306677238,192.3353483620895,335.8859355347103,382.61863227739724,420.42162554426704,465.1206896551725
GA,"Los Angeles, CA (Metropolitan Area)",30.0,10855.1,2715.583487818105,6581.0,8298.0,10751.5,12717.0,15702.0,30.0,408.69417710780823,89.3462126087285,308.85348861063113,353.6911562689583,370.42001831013687,425.8107997154399,600.3336548532457
GA,"Louisville, KY",28.0,1010.0,375.0112097089998,337.0,725.0,1057.0,1302.5,1640.0,28.0,365.0935408291546,113.120137155657,197.215557092418,260.48718086214933,344.8532997827245,474.2210455841296,552.579043948986
GA,"Melbourne, FL",1.0,150.0,,150.0,150.0,150.0,150.0,150.0,1.0,247.02,,247.02,247.02,247.02,247.02,247.02
GA,"Memphis, TN",30.0,2373.8333333333335,976.5444031196778,750.0,1581.0,2280.0,3015.0,4485.0,30.0,254.47930274972248,68.70901847716034,187.94395647104548,213.3729199937429,225.33041040809354,252.06261879496557,424.8035035901615
GA,"Miami, FL (Metropolitan Area)",30.0,13335.9,3073.2380693715354,8060.0,11330.5,12572.5,15320.5,19983.0,30.0,213.68024051802303,34.01908264824453,159.14535782883084,184.0285449654173,205.6413956565608,247.88900024999828,269.64017060876307
GA,"Milwaukee, WI",30.0,2213.366666666667,663.1098875665372,911.0,1535.5,2526.0,2660.25,3138.0,30.0,268.21433112284234,72.58946449922394,198.07432294501908,222.86454777314967,242.03010141551414,266.9742117058608,457.97880062305296
GA,"Minneapolis/St. Paul, MN",30.0,4200.233333333334,870.2679208284013,1718.0,4120.75,4434.5,4698.25,5326.0,30.0,315.3874679019212,69.43185374185127,245.418630747766,268.44788457655426,296.3917538535667,331.2518514283357,565.8398227109516
GA,"Mobile, AL",6.0,738.5,239.66288824096233,333.0,655.25,764.5,907.5,995.0,6.0,304.24528234270423,44.214554371209,243.98295477386935,270.7831570553053,311.89537715756,341.7946876391048,348.8577768130623
GA,"Myrtle Beach, SC",8.0,410.125,178.4564272548664,143.0,327.5,431.0,503.25,649.0,8.0,210.28667318530185,42.528593367329016,161.7287351778656,183.4389608906831,200.94232773759268,222.65079537005263,300.1428571428571
GA,"Nashville, TN",27.0,958.1111111111111,581.0616499353928,158.0,497.0,898.0,1354.5,2213.0,27.0,394.9950515098186,118.71416827318916,192.30358316382413,273.74620795344504,428.3008880579575,488.6006415198602,560.3181818181818
GA,"New Orleans, LA",30.0,3253.366666666667,685.1393758702064,1767.0,2836.0,3268.5,3945.5,4337.0,30.0,224.2422353920138,26.231133763782818,172.59373705205175,211.55394182113383,220.78305470201494,235.39496663408866,279.3503674928416
GA,"New York City, NY (Metropolitan Area)",30.0,25596.266666666666,5296.816004781151,11368.0,23340.5,25070.5,28995.25,35774.0,30.0,280.97398407396,53.28861054852933,195.82000552294247,253.48225897481066,278.0619402763603,307.7151463346356,418.0716597928005
GA,"Norfolk, VA (Metropolitan Area)",30.0,2139.8,583.6669102056117,839.0,1725.5,2146.0,2587.5,3018.0,30.0,250.2927445139579,32.60367651278916,199.17496549380274,228.16480054048526,240.93641396845086,261.5931217892901,330.1220875174632
GA,"Oklahoma City, OK",30.0,895.9,285.8291447700881,344.0,720.25,785.0,1137.25,1513.0,30.0,367.53244407156166,72.10741485729439,241.40803292141914,297.8944279960426,383.5582711244697,422.09030556277963,471.6779701779702
GA,"Omaha, NE",30.0,812.5333333333333,265.4527340657626,174.0,703.5,788.5,977.5,1253.0,30.0,369.79582009507004,68.67135007748558,231.36235120844097,321.5839925273829,379.15747941226954,408.7391588428455,480.1418941432783
GA,"Orlando, FL",30.0,6857.533333333334,1361.5300656027505,3733.0,5825.25,6657.0,7784.25,9175.0,30.0,224.44866150044675,29.581331714679592,164.79442345003199,199.4067162865684,223.82270311448627,250.8427958235551,275.5678340462676
GA,"Pensacola, FL",12.0,663.8333333333334,251.70142244454252,172.0,577.0,770.5,830.25,915.0,12.0,204.87559841622155,15.99338444853346,174.82288478847883,197.6918130221568,206.7608537115019,216.71428757598113,226.95131086142322
GA,"Philadelphia, PA",30.0,7613.666666666667,1321.9397537874704,3343.0,7424.0,7772.0,8328.25,9583.0,30.0,241.40484330577095,33.381838383065194,176.14978619164916,216.00406227559046,243.78265316994123,259.60602575397706,309.6905312156825
GA,"Phoenix, AZ",30.0,3588.5,1058.0667063906762,2165.0,2629.5,3545.0,4101.25,5778.0,30.0,378.8985518859703,94.44668180709876,275.29036945221196,305.7629921537327,345.45543996114066,434.912787928478,595.3993553381869
GA,"Pittsburgh, PA",30.0,2753.7,566.9056450105498,1215.0,2618.25,2922.0,3154.75,3420.0,30.0,260.68372378174377,73.2479049040329,183.2044509421702,222.27115111840232,244.90080809036027,260.7122648211522,471.1516272040302
GA,"Portland, ME",22.0,292.3636363636364,129.47680264913257,83.0,200.25,244.0,432.75,506.0,22.0,330.91659300531467,42.36020734857612,244.99999999999997,297.16034266937885,333.6560606060606,352.0239090387165,405.62500000000006
GA,"Portland, OR",30.0,1497.5666666666666,333.2904587369063,774.0,1286.5,1409.5,1827.0,2120.0,30.0,473.0224366144709,71.87935279200428,311.0344122588612,427.7696941727776,464.1306293398162,523.4010721810614,610.242898176452
GA,"Quad Cities, IL (Metropolitan Area)",11.0,638.5454545454545,173.14408083233087,361.0,514.0,607.0,809.0,894.0,11.0,216.84002543069025,15.062114012148202,191.49331657925407,209.27310918024926,210.10405241935484,225.367038281492,241.82411983647566
GA,"Raleigh/Durham, NC",30.0,3732.5333333333333,728.8320715403152,1575.0,3639.5,3843.0,3996.0,5073.0,30.0,236.81322103510553,30.619897167188054,185.03248273736415,217.18376210780957,231.06970400770237,258.8666629457631,310.0564402894007
GA,"Reno, NV",7.0,196.57142857142858,139.5956746498701,85.0,136.5,159.0,177.5,504.0,7.0,362.74190291433905,48.18121891167124,275.26506024096386,344.6552721088435,374.50943396226415,397.0333076563959,406.0416666666667
GA,"Richmond, VA",30.0,2188.3,554.8032363230074,1044.0,1731.0,2422.0,2602.5,2772.0,30.0,284.8507329061053,80.78899099650532,182.0550915992738,230.8343204500982,259.55964881668865,318.2524407701934,475.0027961587611
GA,"Rochester, NY",28.0,961.9285714285714,376.91996680417634,175.0,764.5,906.5,1324.75,1474.0,28.0,296.0695464084265,79.27857596965735,196.07124501459643,233.97451124387896,272.86923808861866,345.7607705522977,453.2629742547426
GA,"Sacramento, CA",30.0,1123.0666666666666,290.7596392487994,581.0,921.0,1092.5,1344.75,1652.0,30.0,446.3843324248024,56.684472625354104,370.17408120834097,408.64196160319256,432.41781318947596,472.73975441729436,592.3108210745122
GA,"Salt Lake City, UT",30.0,2174.1,461.78681079118064,1571.0,1882.75,2019.0,2372.75,3153.0,30.0,435.13578238266604,37.4613267000446,346.58251062580325,419.74227098251197,441.7867974535416,457.3793165082256,498.1697066392177
GA,"San Antonio, TX",30.0,2039.7666666666667,634.9705224400705,1058.0,1487.25,2030.5,2562.5,2981.0,30.0,326.6057325644029,83.469594807597,239.0181794923888,252.6805828281983,280.99323825960425,413.22463653225395,473.46681641209943
GA,"San Diego, CA",30.0,2328.9,590.3146647748773,1271.0,1931.25,2114.0,2885.0,3725.0,30.0,434.82689348341427,76.3289943906538,319.68603962573815,386.69780920407686,418.44472445076974,468.4729039728365,606.7432124352331
GA,"San Francisco, CA (Metropolitan Area)",30.0,6399.8,1370.7086362598147,3013.0,5664.25,6523.5,7157.75,9110.0,30.0,457.8602179068249,117.61165537478252,328.52216035356685,382.8923622508976,421.9965450948806,448.0405285578181,765.6689564859714
GA,"Sarasota/Bradenton, FL",25.0,765.56,380.99257210607135,135.0,466.0,696.0,1114.0,1345.0,25.0,251.2409359214508,37.16155946150579,182.64572778747498,227.50932878270763,244.86339065074134,271.1802147436723,345.35064935064935
GA,"Savannah, GA",13.0,1082.076923076923,224.34291517617308,629.0,957.0,1105.0,1190.0,1528.0,13.0,209.92742550488987,30.88763945512836,150.23685718834577,198.0507582343282,215.8046606334842,221.06773489932885,271.56684027777777
GA,"Seattle, WA",30.0,3392.7,967.4316210354665,1649.0,2524.75,3344.5,4004.0,5400.0,30.0,445.2806448616669,79.9908158237863,322.5814600081902,399.0603652280837,429.0644951501769,469.5385895702859,630.9327412274325
GA,"St. Louis, MO",30.0,2719.1,615.8565299785669,1498.0,2208.25,2758.5,3188.5,3761.0,30.0,300.39877016188115,95.84097441029243,180.51827569406012,225.83811009692332,253.5309968718422,394.1804941156312,454.33407882275804
GA,"Syracuse, NY",23.0,626.9130434782609,247.7247213126036,129.0,491.5,651.0,790.0,1020.0,23.0,351.2249083649592,56.361660420650786,277.36198347107444,306.5010148938612,351.1613240418119,376.8743178945421,478.2916666666667
GA,"Tallahassee, FL",4.0,395.0,220.8513829101673,121.0,282.25,409.5,522.25,640.0,4.0,224.33512926978068,72.96470123451978,182.00907208733295,184.65271445040463,190.96780582922824,230.65022064860432,333.39583333333337
GA,"Tampa, FL (Metropolitan Area)",30.0,5655.866666666667,1075.05713507616,2814.0,5036.5,5653.5,6422.75,7533.0,30.0,229.2922676721785,28.30437883155212,165.55929319925974,209.10020573013412,231.464562965908,249.24464629712983,283.37193127934415
GA,"Toledo, OH",3.0,436.6666666666667,288.9573209547274,217.0,273.0,329.0,546.5,764.0,3.0,201.262393806483,5.810849340804032,197.77358490566036,197.90840143091822,198.04321795617605,203.00679825689429,207.97037855761255
GA,"Trenton, NJ",6.0,465.1666666666667,238.44111781877442,216.0,268.75,435.0,640.25,783.0,6.0,118.58190158481749,17.71274074225438,100.17703039362232,109.45251378338644,113.65762319871908,122.25986721251245,150.8210401891253
GA,"Tucson, AZ",5.0,196.4,96.92161781563492,81.0,151.0,158.0,275.0,317.0,5.0,384.46117373935016,35.039335642484325,326.1392405063291,381.0141666666667,393.73333333333335,406.6009463722398,414.8181818181818
GA,"Tulsa, OK",16.0,497.75,244.3348794857855,164.0,290.75,551.0,696.5,828.0,16.0,372.6767389678795,61.68743573040885,242.53319204994557,326.07828658746945,390.7447497540426,416.1228451675639,451.930876625019
GA,"Valparaiso, FL",6.0,542.0,389.554617480014,169.0,203.0,487.5,787.75,1112.0,6.0,211.44790400212193,16.654863017661675,181.30009121313466,210.09981315331146,213.31988677444645,218.78079967193975,231.12
GA,"Washington, DC (Metropolitan Area)",30.0,17727.9,3453.421225693293,7465.0,16319.0,18488.5,19949.25,22569.0,30.0,259.48268398543763,44.56393820900454,191.40239396327632,229.7335942640496,255.46254900561706,281.7766592512896,356.95482748776965
GA,"West Palm Beach/Palm Beach, FL",30.0,2507.766666666667,476.28336127759604,979.0,2288.0,2594.5,2801.5,3212.0,30.0,239.7704542394296,32.587198372678664,184.14128509992412,219.37292951835664,238.79825618303602,256.69570033814153,317.0120052735892
GA,"Wichita, KS",13.0,786.3076923076923,291.67144318433157,28.0,784.0,864.0,995.0,1021.0,13.0,229.53341006209504,22.938844886007715,196.35093560220724,214.63946622185154,227.089190491737,242.48501275510205,269.7848101265823
